Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 257  9 13 1600   -0.2 1001.9    7.4  228.0   95.8   -2.4
2008 257  9 13 1700   -0.6 1000.7    7.3  220.0   97.5   -3.3
2008 257  9 13 1800   -0.9  999.0    7.1  213.0   98.0   -3.6
2008 257  9 13 1900   -1.0  998.2    7.5  193.0   97.8   -2.1
2008 257  9 13 2000   -0.9  444.0    6.7  206.0   95.0   -3.1
2008 257  9 13 2100   -1.4  997.0    5.4  236.0   92.9   -2.5
2008 257  9 13 2200   -1.3  996.2    5.0  245.0  444.0   -2.1
2008 257  9 13 2300   -1.0  997.7    5.6  253.0   92.0   -1.9
2008 258  9 14 0000   -1.3  997.8    7.4  250.0   98.0   -2.1
2008 258  9 14 0100   -0.5  999.2   10.4  229.0   97.0   -2.1
2008 258  9 14 0200   -0.2 1001.0    9.5  231.0   92.3   -1.9
2008 258  9 14 0300   -0.3  444.0    5.6  242.0   91.0   -1.9
2008 258  9 14 0400    0.0 1002.4    8.1  246.0   90.0   -2.0
2008 258  9 14 0500   -0.1 1002.6    8.1  243.0   92.0   -2.0
2008 258  9 14 0600   -0.3 1002.0    9.7  240.0   92.0   -1.9
2008 258  9 14 0700   -0.2 1002.7    9.5  240.0   93.2   -1.9
2008 258  9 14 0800   -0.1 1003.3   10.2  243.0   93.0   -1.8
2008 258  9 14 0900    0.1 1004.1    8.1  246.0   90.0   -1.7
2008 258  9 14 1000    0.1 1004.6    8.9  246.0   92.0   -1.8
2008 258  9 14 1100    0.0 1004.7    8.9  248.0   89.9   -1.9
2008 258  9 14 1200   -0.1 1005.2    8.3  233.0  444.0   -2.1
2008 258  9 14 1300    0.3 1007.6    5.5  242.0   89.8   -1.9
2008 258  9 14 1400    0.9  444.0    6.0  245.0   85.8   -1.9
2008 258  9 14 1500    0.9  444.0    8.6  260.0   82.9   -1.8
2008 258  9 14 1600    1.2  444.0    6.5  248.0   73.0   -1.7
2008 258  9 14 1700    1.2  444.0    7.8  283.0  444.0   -1.7
2008 258  9 14 1800  444.0  444.0  444.0  444.0  444.0  444.0
2008 258  9 14 1900    0.8  444.0    5.4  288.0   69.0   -1.6
2008 258  9 14 2000    0.9  444.0    8.7  285.0  444.0   -1.6
2008 258  9 14 2100    0.7 1006.8    5.1  340.0   66.0   -1.6
2008 258  9 14 2200    0.5 1005.7    5.9  335.0  444.0   -1.6
2008 258  9 14 2300    1.1 1006.8    2.8   10.0   62.7   -1.6
2008 259  9 15 0000    1.3 1007.1    4.2  330.0   56.7   -2.2
2008 259  9 15 0100    0.2 1005.0    2.9   35.0   73.0   -1.6
2008 259  9 15 0200    1.3 1006.3    3.2    8.0   68.3   -1.6
2008 259  9 15 0300    1.2 1007.3    4.4  337.0   69.0   -1.6
2008 259  9 15 0400   -0.6 1003.5    5.9    7.0   91.0   -1.9
2008 259  9 15 0500    0.9 1005.7    6.2   12.0   79.0   -1.8
2008 259  9 15 0600    1.4 1006.6    7.7   24.0   77.0   -1.6
2008 259  9 15 0700    3.8  444.0    6.6  342.0   70.6   -2.0
2008 259  9 15 0800    2.5  444.0    1.1  304.0   75.0   -1.7
2008 259  9 15 0900    1.0  444.0    3.7   24.0   75.0   -1.7
2008 259  9 15 1000    2.5 1008.0   14.0  303.0   77.0   -2.8
2008 259  9 15 1100    2.0 1006.9   16.0  286.0   79.1  444.0
2008 259  9 15 1200    2.3 1009.0   12.5  281.0   76.0   -8.3
2008 259  9 15 1300    2.6 1010.3   12.8  283.0   74.7   -2.1
2008 259  9 15 1400    2.1 1009.3   14.4  278.0  444.0   -9.6
2008 259  9 15 1500    2.8  444.0    7.6  249.0  444.0   -1.7
2008 259  9 15 1600    0.7 1005.1    4.8   31.0   88.1   -3.1
2008 259  9 15 1700    1.0 1006.2    3.5   24.0   90.0   -2.2
2008 259  9 15 1800    0.5  444.0  444.0  444.0  444.0  444.0
2008 259  9 15 1900    2.7 1008.9   10.5  264.0   77.0   -3.4
