Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  46  2 15 1300    1.1  993.5    2.2  323.0   85.7  444.0
2004  46  2 15 1400    0.5  444.0    4.8  347.0   85.1  444.0
2004  46  2 15 1500    0.7  444.0    5.2  334.0   84.5  444.0
2004  46  2 15 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 1700    0.4  993.5    2.8  341.0   83.8  444.0
2004  46  2 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 1900    0.1  992.8    5.2   17.0   82.1  444.0
2004  46  2 15 2000   -0.7  444.0    5.7   16.0   83.0  444.0
2004  46  2 15 2100   -0.7  992.2    7.0   50.0   82.1  444.0
2004  46  2 15 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 2300   -0.9  991.5    7.5   54.0   81.5  444.0
2004  47  2 16 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  47  2 16 0100   -1.1  444.0   10.6   56.0   80.7  444.0
2004  47  2 16 0200   -1.4  988.7   10.7   56.0   81.4  444.0
2004  47  2 16 0300   -1.6  444.0    5.4   38.0   82.7  444.0
2004  47  2 16 0400   -1.0  444.0   10.6   56.0   83.7  444.0
2004  47  2 16 0500   -0.6  987.3  444.0  444.0   84.5  444.0
2004  47  2 16 0600   -1.0  444.0   12.2   57.0   83.9  444.0
2004  47  2 16 0700   -1.4  444.0   13.2   58.0   84.8  444.0
2004  47  2 16 0800   -1.5  983.9  444.0  444.0   85.7  444.0
2004  47  2 16 0900   -1.3  983.2   10.4   57.0   87.2  444.0
2004  47  2 16 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  47  2 16 1100   -1.7  982.5  444.0  444.0   89.2  444.0
2004  47  2 16 1200   -1.0  444.0    4.0   56.0   89.3  444.0
2004  47  2 16 1300  444.0  444.0  444.0  444.0  444.0  444.0
